1,龙湾别墅,3室3厅,351.48,24000108.84,68283
2,广信嘉园,3室1厅,130.03,11600106.33,89211
3,CBD国际高尔夫别墅,5室2厅,396.82,28000016.02,70561
4,御园,4室2厅,363.58,39000135.86,107267
5,华尔街观典,5室2厅,439.18,26280092.02,59839
6,怡升园,4室2厅,256.11,19500215.4,76140
7,棕榈泉国际公寓,4室2厅,332.26,29900077.4,89990
8,田村33号院,3室1厅,134.1,6900115.5,51455
9,望京新城,4室1厅,132,8000124,60607
10,世桥国贸,3室1厅,170.3,14900057.9,87493
11,安慧北里逸园,2室1厅,102.27,6500076.66,63558
12,峻峰华亭,4室0厅,161.53,7200038.22,44574
13,摩码大厦,1室0厅,98.75,7000091.25,70887
14,博龙家园,2室2厅,112.19,7300091.11,65069
15,清芷园,4室2厅,181.16,13500043.2,74520
16,新世界家园,2室2厅,123.26,14300008.9,116015
17,瑞福楼,3室2厅,163.88,10500119.36,64072
18,华阳家园,2室2厅,94.95,7310010.6,76988
19,新外大街10号院,2室1厅,67.1,8000064.6,119226
20,融科橄榄城一期,3室2厅,144.99,14000089.41,96559
21,华清嘉园,3室1厅,90.42,11000045.1,121655
22,都市心海岸,2室2厅,105.28,6850043.2,65065
23,华威南路,2室1厅,59.31,4100040.99,69129
24,金港国际,1室1厅,87.77,6180061.24,70412
25,润枫德尚苑,4室2厅,240.78,19000190.58,78911
26,濠景阁,3室2厅,330.21,18500015.25,56025
27,兴隆家园,4室2厅,147.88,7600144.72,51394
28,左安浦园,1室1厅,62.15,4960005.05,79807
29,吴家村路10号院,2室1厅,77,5500033,71429
30,山水文园五期,4室4厅,233.18,24600023.64,105498
31,九号公寓,6室2厅,486.86,36000375.84,73944
32,京宝花园,4室1厅,246.65,15000019.75,60815
33,雪芳园,4室1厅,135.87,9500030.4,69920
34,东环18公寓,1室1厅,65.33,5200006.68,79596
35,梵谷水郡,4室2厅,116.97,7550062.59,64547
36,北京上舍,4室2厅,202.45,20200056.1,99778
37,西晴公寓,4室2厅,180.5,14000121.5,77563
38,东南小区,2室1厅,61.6,7000039.2,113637
39,逸翠园,3室2厅,174.62,17000130.1,97355
40,弘善家园,1室0厅,42.64,2650033.36,62149
41,西三环北路86号院,1室1厅,55.63,4950013.03,88981
42,鼓楼西大街,2室1厅,59.8,6700051.8,112041
43,丽水莲花,3室2厅,152.63,12500091.74,81898
44,万泉河62号院,3室1厅,78.2,4100026,52430
45,西晴公寓,3室1厅,130.9,12000126.6,91674
46,广安门外南街,3室1厅,72.64,7100051.52,97743
47,东湖湾三期,1室1厅,47.44,5750012.64,121206
48,金港国际,3室2厅,120.0,3000000.0,69494
49,方华苑,1室1厅,64.38,3700047.36,57472
50,达内大厦,9层楼,1000.0,200000000.0,80000
